2024-05-24 16:59:55.524 -0400	START		Running _Master.script
2024-05-24 16:59:55.801 -0400	Connect		Syringe Pump Stack:(null)	1	on_connect_to_sut	Connect to SUT.script
2024-05-24 17:00:43.445 -0400	typetext		2.500	5	on_inject_doseage	Inject Doseage.script
2024-05-24 17:00:45.022 -0400	click	Syringe/Start Injection	at (1544, 508)	6	on_inject_doseage	Inject Doseage.script
2024-05-24 17:00:50.119 -0400	click	Syringe/Refill Injection	at (1553, 575)	9	on_inject_doseage	Inject Doseage.script
2024-05-24 17:00:50.138 -0400	set		SEARCHRECTANGLE = 	26	on_needle_4	Syringe.script
2024-05-24 17:00:50.324 -0400	capturescreen	Status of Needle #4's Injection.png		27	on_needle_4	Syringe.script
2024-05-24 17:00:52.826 -0400	set		SEARCHRECTANGLE = ["Syringe/5/rect_A","Syringe/5/rect_B"]	2	on_needle_5	Syringe.script
2024-05-24 17:00:54.406 -0400	readtext		(202,678,406,743)	3	on_needle_5	Syringe.script
2024-05-24 17:00:55.501 -0400	readtext		(1648,628,1906,737)	14	on_needle_5	Syringe.script
2024-05-24 17:00:56.101 -0400	click	Syringe/field_Dose	at (1721, 651)	4	on_inject_doseage	Inject Doseage.script
2024-05-24 17:00:56.875 -0400	typetext		3.800	5	on_inject_doseage	Inject Doseage.script
2024-05-24 17:00:58.477 -0400	click	Syringe/Start Injection	at (1544, 659)	6	on_inject_doseage	Inject Doseage.script
2024-05-24 17:01:03.604 -0400	click	Syringe/Refill Injection	at (1553, 726)	9	on_inject_doseage	Inject Doseage.script
2024-05-24 17:01:03.630 -0400	set		SEARCHRECTANGLE = 	26	on_needle_5	Syringe.script
2024-05-24 17:01:03.817 -0400	capturescreen	Status of Needle #5's Injection.png		27	on_needle_5	Syringe.script
2024-05-24 17:01:05.950 -0400	set		SEARCHRECTANGLE = ["Syringe/6/rect_A","Syringe/6/rect_B"]	2	on_needle_6	Syringe.script
2024-05-24 17:01:07.498 -0400	readtext		(202,829,406,894)	3	on_needle_6	Syringe.script
2024-05-24 17:01:08.661 -0400	readtext		(1648,779,1906,888)	14	on_needle_6	Syringe.script
2024-05-24 17:01:09.310 -0400	click	Syringe/field_Dose	at (1721, 802)	4	on_inject_doseage	Inject Doseage.script
2024-05-24 17:01:10.080 -0400	typetext		8.000	5	on_inject_doseage	Inject Doseage.script
2024-05-24 17:01:11.684 -0400	click	Syringe/Start Injection	at (1544, 810)	6	on_inject_doseage	Inject Doseage.script
2024-05-24 17:01:14.639 -0400	EndTestCase		(Duration:"79.112837", Errors:"1", Exceptions:"0", StartTime:"2024-05-24 16:59:55 -0400", Successes:"0", TestCase:"_Master.script", Warnings:"0")
2024-05-24 17:01:14.640 -0400	ABORTED		Execution Time 0:01:19 _Master.script
