2024-08-15 20:36:49.054 -0400	START		Running _Master.script
2024-08-15 20:36:49.334 -0400	Connect		Windows 11:(null)	4	on_connect_to_sut	Connect to SUT.script
2024-08-15 20:37:48.360 -0400	readtext		(1648,600,1906,709)	14	on_needle_5	Syringe.script
2024-08-15 20:37:48.610 -0400	click	Syringe/field_Dose	at (1721, 623)	4	on_inject_doseage	Inject Doseage.script
2024-08-15 20:37:49.375 -0400	typetext		3.800	5	on_inject_doseage	Inject Doseage.script
2024-08-15 20:37:50.361 -0400	click	Syringe/Start Injection	at (1544, 631)	6	on_inject_doseage	Inject Doseage.script
2024-08-15 20:37:54.629 -0400	click	Syringe/Refill Injection	at (1553, 698)	9	on_inject_doseage	Inject Doseage.script
2024-08-15 20:37:54.666 -0400	set		SEARCHRECTANGLE = 	26	on_needle_5	Syringe.script
2024-08-15 20:37:54.847 -0400	capturescreen	Status of Needle #5's Injection.png		27	on_needle_5	Syringe.script
2024-08-15 20:37:55.679 -0400	set		SEARCHRECTANGLE = ["Syringe/6/rect_A","Syringe/6/rect_B"]	2	on_needle_6	Syringe.script
2024-08-15 20:37:56.094 -0400	readtext		(202,794,406,859)	3	on_needle_6	Syringe.script
2024-08-15 20:37:56.420 -0400	readtext		(1648,744,1906,853)	14	on_needle_6	Syringe.script
2024-08-15 20:37:56.666 -0400	click	Syringe/field_Dose	at (1721, 767)	4	on_inject_doseage	Inject Doseage.script
2024-08-15 20:37:57.428 -0400	typetext		8.000	5	on_inject_doseage	Inject Doseage.script
2024-08-15 20:37:58.402 -0400	click	Syringe/Start Injection	at (1544, 775)	6	on_inject_doseage	Inject Doseage.script
2024-08-15 20:38:02.444 -0400	set		SEARCHRECTANGLE = 	26	on_needle_6	Syringe.script
2024-08-15 20:38:02.615 -0400	capturescreen	Status of Needle #6's Injection.png		27	on_needle_6	Syringe.script
2024-08-15 20:38:03.022 -0400	set		SEARCHRECTANGLE = ["Syringe/7/rect_A","Syringe/7/rect_B"]	2	on_needle_7	Syringe.script
2024-08-15 20:38:03.438 -0400	readtext		(202,938,406,1003)	3	on_needle_7	Syringe.script
2024-08-15 20:38:03.774 -0400	readtext		(1648,888,1906,997)	14	on_needle_7	Syringe.script
2024-08-15 20:38:04.038 -0400	click	Syringe/field_Dose	at (1721, 911)	4	on_inject_doseage	Inject Doseage.script
2024-08-15 20:38:04.799 -0400	typetext		3.000	5	on_inject_doseage	Inject Doseage.script
2024-08-15 20:38:05.758 -0400	click	Syringe/Start Injection	at (1544, 919)	6	on_inject_doseage	Inject Doseage.script
2024-08-15 20:38:09.798 -0400	set		SEARCHRECTANGLE = 	26	on_needle_7	Syringe.script
2024-08-15 20:38:09.974 -0400	capturescreen	Status of Needle #7's Injection.png		27	on_needle_7	Syringe.script
2024-08-15 20:38:13.252 -0400	EndTestCase		(Duration:"84.197432", Errors:"1", Exceptions:"0", StartTime:"2024-08-15 20:36:49 -0400", Successes:"0", TestCase:"_Master.script", Warnings:"0")
2024-08-15 20:38:13.255 -0400	ABORTED		Execution Time 0:01:24 _Master.script
